ARREST LOCATION,Formatted,lat,lon
ALMADEN EX / CHERRY AV,"Cherry Ave & Almaden Expy, San Jose, CA 95118, USA",37.2590082,-121.8761031
4100 BLOCK MONTEREY RD,"4100 Monterey Rd, San Jose, CA 95111, USA",37.2794835,-121.8341096
WAR ADMIRAL WY / ELLA DR,"Ella Dr & War Admiral Way, San Jose, CA 95111, USA",37.2700867,-121.8059282
HYDE PARK DR / VISTAPARK DR,"Hyde Park Dr & Vistapark Dr, San Jose, CA 95136, USA",37.2642025,-121.8457867
1300 BLOCK OLD BAYSHORE HY,"1300 Old Bayshore Hwy, San Jose, CA 95112, USA",37.3658487,-121.8977719
E CAPITOL EX / OCALA AV,,,
E CAPITOL EX / SENTER RD,,,
CHYNOWETH AV / NEW WORLD DR,"New World Dr & Chynoweth Ave, San Jose, CA 95136, USA",37.2602948,-121.854608
500 BLOCK MANHATTAN PL,"500 Manhattan Pl, San Jose, CA 95136, USA",37.2776896,-121.8579809
MATRIX BL / AIRPORT PY,"Airport Pkwy & Matrix Blvd, San Jose, CA 95110, USA",37.3718154,-121.9197404
LUNDY AV / CHESTERTON CL,"Lundy Ave & Chesterton Cir, San Jose, CA 95133, USA",37.3726478,-121.872522
N 1ST ST / KARINA CT,"Karina Ct & N First St, San Jose, CA 95131, USA",37.3753977,-121.9199913
1700 BLOCK N 1ST ST,"1700 N First St, San Jose, CA 95112, USA",37.3660798,-121.9107
DIANA AV / PACINA DR,"Diana Ave & Pacina Dr, San Jose, CA 95116, USA",37.3476998,-121.8377
1300 BLOCK N 1ST ST,"1300 N First St, San Jose, CA 95112, USA",37.3600973,-121.9082603
2100 BLOCK N 1ST ST,"2100 N First St, San Jose, CA 95131, USA",37.3755824,-121.9193405
2000 BLOCK GATEWAY PL,"2000 Gateway Pl, San Jose, CA 95110, USA",37.3706764,-121.9217241
N JACKSON AV / MOSSDALE WY,"N Jackson Ave & Mossdale Way, San Jose, CA 95133, USA",37.3764468,-121.8611234
2800 BLOCK ALUM ROCK AV,"2800 Alum Rock Ave, San Jose, CA 95127, USA",37.363034,-121.8338511
2800 BLOCK STORY RD,"2800 Story Rd, San Jose, CA 95127, USA",37.3525874,-121.8243226
